Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
200000,-19.634588,1.4053819,20.00465,0.020949733,0.00018244327,925.7777777777778,-428.27776992321014,-428.27776992321014,1.0
210000,-20.127333,1.4029216,18.412138,0.024137195,0.00017629021,670.1111111111111,-316.4333279000388,-316.4333279000388,1.0
220000,-20.759653,1.4008197,16.724104,0.027831085,0.00017007667,537.7272727272727,-267.8909031261097,-267.8909031261097,1.0
230000,-20.597906,1.4000503,17.601923,0.028219575,0.0001638889,370.57142857142856,-180.92142476354326,-180.92142476354326,1.0
240000,-21.587017,1.3996555,19.13806,0.025035579,0.00015770645,806.9166666666666,-409.3545353412628,-409.3545353412628,1.0
250000,-22.477325,1.399177,18.052816,0.022194607,0.00015155227,541.0714285714286,-269.5133299032847,-269.5133299032847,1.0
260000,-22.696068,1.3982041,14.669906,0.023732739,0.00014538244,362.5,-194.6928531697818,-194.6928531697818,1.0
270000,-21.762056,1.3966883,20.034487,0.016756501,0.00013923428,375.5833333333333,-189.9916636745135,-189.9916636745135,1.0
280000,-22.064024,1.3955231,19.321575,0.02275253,0.00013303148,328.06666666666666,-171.67999656995138,-171.67999656995138,1.0
290000,-23.021742,1.3951579,17.955576,0.028450234,0.00012688687,724.2941176470588,-354.97058216964496,-354.97058216964496,1.0
300000,-24.018782,1.394036,13.726388,0.023562722,0.00012071407,427.125,-201.47499659657478,-201.47499659657478,1.0
310000,-23.96813,1.3917212,15.9579115,0.02769296,0.00011456407,425.3529411764706,-213.89411394035116,-213.89411394035116,1.0
320000,-24.887716,1.390534,14.400053,0.023638017,0.00010835588,348.11764705882354,-174.18823067580954,-174.18823067580954,1.0
330000,-24.86488,1.3895615,14.5083,0.020606121,0.00010214166,336.1666666666667,-174.54999595880508,-174.54999595880508,1.0
340000,-24.611872,1.388718,None,None,None,343.65,-173.86499503403903,-173.86499503403903,1.0
350000,-25.553848,1.3879327,16.454777,0.025830502,9.593227e-05,322.0,-168.8238062773432,-168.8238062773432,1.0
360000,-25.67667,1.3874981,12.997671,0.02694335,8.9712674e-05,366.0,-183.1599966585636,-183.1599966585636,1.0
370000,-25.793419,1.3871253,12.802027,0.017337134,8.350268e-05,283.3333333333333,-138.3958302984635,-138.3958302984635,1.0
380000,-25.585655,1.3870703,12.707018,0.026262246,7.730949e-05,336.1,-174.76999752223492,-174.76999752223492,1.0
390000,-26.482311,1.386683,13.253679,0.022881,7.114748e-05,317.3809523809524,-166.42856783810117,-166.42856783810117,1.0
400000,-26.66208,1.3859208,13.060214,0.024820426,6.496747e-05,304.7142857142857,-160.19047414688836,-160.19047414688836,1.0
410000,-26.549135,1.3852684,11.542905,0.025260272,5.8815083e-05,276.9166666666667,-139.8583327283462,-139.8583327283462,1.0
420000,-27.478855,1.3847328,12.161262,0.018698268,5.2624287e-05,275.72,-130.81599752902986,-130.81599752902986,1.0
430000,-27.383755,1.3846623,11.157826,0.021329079,4.6359095e-05,245.0,-126.08333210150401,-126.08333210150401,1.0
440000,-27.565586,1.3845394,9.886246,0.018479228,4.015329e-05,289.0769230769231,-137.03076671407774,-137.03076671407774,1.0
450000,-27.164125,1.3843418,11.638352,0.02552811,3.3956494e-05,247.15384615384616,-124.78461384544006,-124.78461384544006,1.0
460000,-27.90958,1.3841583,10.97148,0.02372344,2.77633e-05,249.92307692307693,-119.50799748659134,-119.50799748659134,1.0
470000,-27.904308,1.3840292,10.40483,0.024282288,2.1616299e-05,243.82142857142858,-124.18275723375123,-124.18275723375123,1.0
480000,-28.038746,1.383983,11.040675,0.022825263,1.5457288e-05,241.82142857142858,-122.6357137709856,-122.6357137709856,1.0
490000,-28.303843,1.3839717,11.424353,0.02284568,9.305504e-06,227.32142857142858,-113.86206848456942,-113.86206848456942,1.0
500000,-28.341557,1.3839695,11.62234,0.025740106,3.0954932e-06,236.3793103448276,-120.14642766330924,-120.14642766330924,1.0
